
2017/01/08 16:19:46 Total host 262142
2017/01/08 16:24:51 NTP Server:   1.52.88.226 len 48
2017/01/08 16:24:53 NTP Server:   1.52.90.2 len 48
2017/01/08 16:24:54 NTP Server:   1.52.90.136 len 48
2017/01/08 16:24:58 NTP Server:   1.52.91.133 len 48
2017/01/08 16:24:58 NTP Server:   1.52.90.242 len 48
2017/01/08 16:25:00 NTP Server:   1.52.91.228 len 48
2017/01/08 16:25:01 NTP Server:   1.52.91.136 len 48
2017/01/08 16:25:02 NTP Server:   1.52.91.191 len 48
2017/01/08 16:25:03 NTP Server:   1.52.92.68 len 48
2017/01/08 16:25:03 NTP Server:   1.52.94.37 len 48
2017/01/08 16:25:05 NTP Server:   1.52.92.153 len 48
2017/01/08 16:25:05 NTP Server:   1.52.94.72 len 152
2017/01/08 16:25:06 NTP Server:   1.52.94.215 len 48
2017/01/08 16:25:06 NTP Server:   1.52.94.101 len 48
2017/01/08 16:25:06 NTP Server:   1.52.94.111 len 48
2017/01/08 16:25:09 NTP Server:   1.52.94.27 len 48
2017/01/08 16:25:10 NTP Server:   1.52.94.163 len 152
2017/01/08 16:25:10 NTP Server:   1.52.94.212 len 2128
2017/01/08 16:25:10 NTP Server:   1.52.94.133 len 1616
2017/01/08 16:25:12 NTP Server:   1.52.94.35 len 48
2017/01/08 16:25:13 NTP Server:   1.52.96.107 len 48
2017/01/08 16:25:15 NTP Server:   1.52.96.113 len 48
2017/01/08 16:25:15 NTP Server:   1.52.96.132 len 48
2017/01/08 16:25:15 NTP Server:   1.52.96.180 len 48
2017/01/08 16:25:15 NTP Server:   1.52.96.147 len 48
2017/01/08 16:25:15 NTP Server:   1.52.96.162 len 48
2017/01/08 16:25:20 NTP Server:   1.52.96.224 len 48
2017/01/08 16:25:20 NTP Server:   1.52.97.54 len 48
2017/01/08 16:25:20 NTP Server:   1.52.97.223 len 48
2017/01/08 16:25:20 NTP Server:   1.52.97.231 len 48
2017/01/08 16:25:21 NTP Server:   1.52.97.174 len 48
2017/01/08 16:25:21 NTP Server:   1.52.98.3 len 48
2017/01/08 16:25:27 NTP Server:   1.52.98.175 len 48
2017/01/08 16:25:27 NTP Server:   1.52.99.79 len 48
2017/01/08 16:25:28 NTP Server:   1.52.100.31 len 48
2017/01/08 16:25:28 NTP Server:   1.52.100.127 len 48
2017/01/08 16:25:32 NTP Server:   1.52.101.123 len 48
2017/01/08 16:25:40 NTP Server:   1.52.103.7 len 80
2017/01/08 16:25:41 NTP Server:   1.52.103.245 len 48
2017/01/08 16:25:46 NTP Server:   1.52.105.9 len 48
2017/01/08 16:25:46 NTP Server:   1.52.105.74 len 48
2017/01/08 16:25:46 NTP Server:   1.52.105.37 len 48
2017/01/08 16:25:48 NTP Server:   1.52.105.203 len 48
2017/01/08 16:25:52 NTP Server:   1.52.106.166 len 48
2017/01/08 16:26:02 NTP Server:   1.52.110.56 len 48
2017/01/08 16:26:04 NTP Server:   1.52.110.182 len 368
2017/01/08 16:26:05 NTP Server:   1.52.110.216 len 48
2017/01/08 16:26:05 NTP Server:   1.52.111.96 len 48
2017/01/08 16:26:05 NTP Server:   1.52.110.219 len 48
2017/01/08 16:26:14 NTP Server:   1.52.113.221 len 48
2017/01/08 16:26:15 NTP Server:   1.52.113.220 len 48
2017/01/08 16:26:16 NTP Server:   1.52.115.52 len 48
2017/01/08 16:26:18 NTP Server:   1.52.116.65 len 48
2017/01/08 16:26:25 NTP Server:   1.52.116.247 len 48
2017/01/08 16:26:25 NTP Server:   1.52.116.107 len 48
2017/01/08 16:26:25 NTP Server:   1.52.117.16 len 48
2017/01/08 16:26:28 NTP Server:   1.52.118.146 len 48
2017/01/08 16:27:09 NTP Server:   1.52.129.50 len 48
2017/01/08 16:27:11 NTP Server:   1.52.129.116 len 48
2017/01/08 16:27:18 NTP Server:   1.52.132.42 len 48
2017/01/08 16:27:24 NTP Server:   1.52.133.83 len 48
2017/01/08 16:27:24 NTP Server:   1.52.133.28 len 48
2017/01/08 16:27:25 NTP Server:   1.52.133.78 len 48
2017/01/08 16:27:25 NTP Server:   1.52.133.41 len 48
2017/01/08 16:27:26 NTP Server:   1.52.134.43 len 48
2017/01/08 16:27:26 NTP Server:   1.52.134.80 len 48
2017/01/08 16:27:27 NTP Server:   1.52.133.54 len 48
2017/01/08 16:27:31 NTP Server:   1.52.135.202 len 48
2017/01/08 16:27:31 NTP Server:   1.52.135.28 len 48
2017/01/08 16:27:34 NTP Server:   1.52.135.169 len 48
2017/01/08 16:27:50 NTP Server:   1.52.141.150 len 48
2017/01/08 16:27:51 NTP Server:   1.52.140.244 len 48
2017/01/08 16:27:51 NTP Server:   1.52.142.45 len 48
2017/01/08 16:27:57 NTP Server:   1.52.141.25 len 48
2017/01/08 16:27:58 NTP Server:   1.52.142.193 len 48
2017/01/08 16:27:58 NTP Server:   1.52.143.13 len 48
2017/01/08 16:27:58 NTP Server:   1.52.142.73 len 48
2017/01/08 16:27:58 NTP Server:   1.52.141.68 len 48
2017/01/08 16:27:58 NTP Server:   1.52.143.42 len 48
2017/01/08 16:28:00 NTP Server:   1.52.143.160 len 48
2017/01/08 16:28:01 NTP Server:   1.52.143.75 len 48
2017/01/08 16:28:05 NTP Server:   1.52.145.207 len 48
2017/01/08 16:28:08 NTP Server:   1.52.145.245 len 48
2017/01/08 16:28:10 NTP Server:   1.52.146.152 len 48
2017/01/08 16:28:18 NTP Server:   1.52.149.5 len 48
2017/01/08 16:28:18 NTP Server:   1.52.149.102 len 48
2017/01/08 16:28:21 NTP Server:   1.52.149.156 len 48
2017/01/08 16:28:22 NTP Server:   1.52.149.186 len 48
2017/01/08 16:28:22 NTP Server:   1.52.149.36 len 48
2017/01/08 16:28:35 NTP Server:   1.52.153.51 len 48
2017/01/08 16:28:36 NTP Server:   1.52.153.12 len 48
2017/01/08 16:28:38 NTP Server:   1.52.153.235 len 48
2017/01/08 16:28:40 NTP Server:   1.52.154.69 len 48
2017/01/08 16:28:40 NTP Server:   1.52.154.81 len 48
2017/01/08 16:28:41 NTP Server:   1.52.153.255 len 48
2017/01/08 16:28:41 NTP Server:   1.52.153.86 len 48
2017/01/08 16:28:50 NTP Server:   1.52.157.37 len 592
2017/01/08 16:28:50 NTP Server:   1.52.157.4 len 48
2017/01/08 16:28:51 NTP Server:   1.52.157.0 len 48
2017/01/08 16:28:55 NTP Server:   1.52.157.223 len 48
2017/01/08 16:29:03 NTP Server:   1.52.161.79 len 48
2017/01/08 16:29:05 NTP Server:   1.52.161.27 len 48
2017/01/08 16:29:31 NTP Server:   1.52.168.207 len 48
2017/01/08 16:29:34 NTP Server:   1.52.168.236 len 48
2017/01/08 16:30:00 NTP Server:   1.52.177.204 len 48
2017/01/08 16:30:01 NTP Server:   1.52.177.222 len 48
2017/01/08 16:30:03 NTP Server:   1.52.177.230 len 48
2017/01/08 16:30:06 NTP Server:   1.52.179.184 len 48
2017/01/08 16:30:08 NTP Server:   1.52.179.161 len 48
2017/01/08 16:30:09 NTP Server:   1.52.180.97 len 48
2017/01/08 16:30:17 NTP Server:   1.52.183.209 len 48
2017/01/08 16:30:22 NTP Server:   1.52.183.212 len 48
2017/01/08 16:30:40 NTP Server:   1.52.188.39 len 48
2017/01/08 16:30:40 NTP Server:   1.52.188.157 len 48
2017/01/08 16:30:44 NTP Server:   1.52.190.105 len 48
2017/01/08 16:30:48 NTP Server:   1.52.191.132 len 48
2017/01/08 16:30:48 NTP Server:   1.52.190.210 len 48
2017/01/08 16:30:49 NTP Server:   1.52.191.173 len 48
2017/01/08 16:30:53 NTP Server:   1.52.193.109 len 48
2017/01/08 16:30:55 NTP Server:   1.52.193.104 len 48
2017/01/08 16:30:59 NTP Server:   1.52.194.49 len 48
2017/01/08 16:31:05 NTP Server:   1.52.196.188 len 48
2017/01/08 16:31:09 NTP Server:   1.52.196.242 len 48
2017/01/08 16:31:13 NTP Server:   1.52.199.61 len 48
2017/01/08 16:31:18 NTP Server:   1.52.198.159 len 48
2017/01/08 16:31:20 NTP Server:   1.52.199.159 len 48
2017/01/08 16:31:21 NTP Server:   1.52.200.233 len 48
2017/01/08 16:31:21 NTP Server:   1.52.200.2 len 48
2017/01/08 16:31:22 NTP Server:   1.52.200.95 len 48
2017/01/08 16:31:28 NTP Server:   1.52.202.145 len 48
2017/01/08 16:31:33 NTP Server:   1.52.202.130 len 48
2017/01/08 16:31:35 NTP Server:   1.52.203.219 len 48
2017/01/08 16:31:38 NTP Server:   1.52.203.80 len 48
2017/01/08 16:31:47 NTP Server:   1.52.207.229 len 48
2017/01/08 16:31:47 NTP Server:   1.52.206.91 len 48
2017/01/08 16:31:55 NTP Server:   1.52.209.153 len 48
2017/01/08 16:31:55 NTP Server:   1.52.210.38 len 48
2017/01/08 16:31:55 NTP Server:   1.52.210.44 len 48
2017/01/08 16:32:04 NTP Server:   1.52.210.206 len 48
2017/01/08 16:32:04 NTP Server:   1.52.212.139 len 48
2017/01/08 16:32:10 NTP Server:   1.52.212.189 len 48
2017/01/08 16:32:11 NTP Server:   1.52.214.7 len 48
2017/01/08 16:32:14 NTP Server:   1.52.215.77 len 4040
2017/01/08 16:32:15 NTP Server:   1.52.214.238 len 48
2017/01/08 16:32:15 NTP Server:   1.52.215.116 len 48
2017/01/08 16:32:19 NTP Server:   1.52.215.247 len 48
2017/01/08 16:32:21 NTP Server:   1.52.216.127 len 48
